#t	#pc00001	#pc00002	#pc00003
0	 0.256104	 0.140489	-0.017627
1	 0.053119	-0.004596	 0.058963
2	-0.005119	-0.021813	 0.011983
3	 0.000117	-0.005134	-0.026998
4	 0.003859	-0.032148	 0.001549
5	 0.018825	-0.020498	 0.011761
6	 0.007523	 0.039683	 0.006789
7	-0.004771	 0.009556	 0.012454
8	-0.022794	 0.006385	 0.004853
9	 0.014960	-0.043406	-0.026842
10	-0.003567	-0.001634	-0.027667
11	-0.020588	 0.034817	-0.018794
12	-0.018462	 0.019170	-0.022161
13	-0.010202	 0.026365	 0.029397
14	 0.000845	 0.033388	-0.008467
15	 0.027662	 0.013956	-0.012663
16	-0.025968	 0.005688	 0.030015
17	-0.003638	-0.034082	 0.006295
18	-0.026318	-0.011015	 0.003473
19	-0.010784	 0.020252	 0.010072
20	-0.007098	-0.004392	 0.019630
21	 0.023982	 0.015413	-0.013458
22	-0.033622	 0.058887	 0.006385
23	 0.035187	-0.020064	 0.019246
24	 0.000400	 0.027890	-0.027533
25	 0.028358	-0.040839	-0.017281
26	-0.018762	-0.014810	 0.012875
27	-0.036507	 0.011305	-0.032650
28	-0.000481	 0.026894	 0.002799
29	 0.001514	-0.007868	-0.028183
30	 0.009032	-0.011129	-0.002738
31	 0.011502	-0.008319	 0.010379
32	-0.003224	-0.022688	-0.032651
33	 0.010120	-0.003660	-0.024175
34	 0.003890	 0.013624	-0.034492
35	 0.025569	 0.002226	 0.008449
36	-0.000757	 0.003711	-0.008998
37	-0.003503	 0.031742	-0.001061
38	-0.010547	 0.013505	 0.010069
39	-0.004865	-0.005854	-0.022173
40	-0.004006	-0.005271	 0.000412
41	 0.016166	-0.019418	-0.031651
42	-0.048621	-0.001703	 0.021959
43	-0.004314	 0.032803	 0.030045
44	 0.002100	-0.007674	 0.008198
45	 0.005439	-0.002627	-0.030129
46	 0.009581	-0.012937	-0.005318
47	 0.005638	 0.010099	 0.018932
48	-0.026562	 0.035150	-0.001481
49	-0.000854	-0.008236	-0.000378
50	-0.011452	-0.011033	 0.020330
51	-0.030088	 0.012013	 0.005384
52	-0.003935	 0.056895	 0.007447
53	-0.003773	-0.008336	-0.013962
54	-0.026184	 0.038173	-0.013018
55	 0.044196	-0.009269	 0.044656
56	 0.020292	 0.008036	 0.018127
57	 0.017834	-0.014034	 0.020403
58	-0.008553	 0.016112	-0.019433
59	-0.013938	 0.000302	-0.012081
60	-0.009985	 0.020417	-0.001048
61	 0.058313	-0.033479	 0.011373
62	-0.021863	 0.046380	-0.009411
63	-0.021659	-0.013829	 0.009994
64	 0.004795	 0.007807	-0.002167
65	 0.005579	-0.010911	 0.016117
66	-0.034875	-0.014178	 0.023374
67	-0.008385	-0.015056	-0.007371
68	-0.009877	 0.013744	-0.001943
69	-0.002211	-0.016572	-0.008251
70	-0.014112	 0.008547	 0.000550
71	-0.012904	-0.016137	 0.014178
72	-0.008356	-0.000495	-0.018962
73	-0.027924	 0.003696	 0.011272
74	 0.013609	 0.042974	 0.001161
75	 0.019515	-0.007452	-0.046752
76	-0.014100	-0.011559	-0.003173
77	 0.038803	-0.011367	 0.037178
78	-0.005686	-0.001655	 0.002866
79	 0.002352	 0.013446	 0.029624
80	-0.012761	 0.020635	-0.005725
81	-0.041518	 0.020814	-0.000785
82	-0.002553	-0.017315	 0.016036
83	 0.008558	 0.015948	-0.009609
84	-0.009747	 0.016451	 0.050524
85	 0.024081	 0.015459	-0.016270
86	-0.023266	 0.005678	-0.010036
87	 0.032893	-0.023217	 0.041626
88	 0.001305	-0.030413	-0.021939
89	 0.006306	-0.020812	-0.003101
90	 0.003426	-0.003229	 0.008672
