	#n var
0	    0.000657
1	    0.000558
2	    0.000348
3	    0.000212
4	    0.000130
5	    0.000087
6	    0.000060
7	    0.000053
8	    0.000041
9	    0.000035
10	    0.000027
11	    0.000024
12	    0.000021
13	    0.000014
14	    0.000011
15	    0.000011
16	    0.000010
17	    0.000009
18	    0.000006
19	    0.000005
20	    0.000005
21	    0.000004
22	    0.000004
23	    0.000003
24	    0.000003
25	    0.000002
26	    0.000002
27	    0.000000
28	    0.000000
29	    0.000000
30	    0.000000
31	    0.000000
32	    0.000000
