	#n var
0	    0.280466
1	    0.518656
2	    0.667060
3	    0.757793
4	    0.813366
5	    0.850639
6	    0.876277
7	    0.899020
8	    0.916580
9	    0.931611
10	    0.943082
11	    0.953372
12	    0.962250
13	    0.968278
14	    0.973136
15	    0.977637
16	    0.981959
17	    0.985657
18	    0.988286
19	    0.990519
20	    0.992518
21	    0.994365
22	    0.996085
23	    0.997330
24	    0.998409
25	    0.999235
26	    1.000000
27	    1.000000
28	    1.000000
29	    1.000000
30	    1.000000
31	    1.000000
32	    1.000000
