	#n var
0	    0.280466
1	    0.238190
2	    0.148404
3	    0.090733
4	    0.055573
5	    0.037274
6	    0.025638
7	    0.022743
8	    0.017560
9	    0.015031
10	    0.011471
11	    0.010290
12	    0.008878
13	    0.006028
14	    0.004858
15	    0.004501
16	    0.004323
17	    0.003697
18	    0.002630
19	    0.002232
20	    0.001999
21	    0.001848
22	    0.001719
23	    0.001245
24	    0.001079
25	    0.000826
26	    0.000766
27	    0.000000
28	    0.000000
29	    0.000000
30	    0.000000
31	    0.000000
32	    0.000000
