    v_0_x   	    v_0_y   	    v_0_z   	  || v_0 || 
 0.231037870	-0.130268276	-0.030396760	 0.266968697
 0.148315474	 0.006227214	-0.029175071	 0.151285961
 0.197787955	 0.183711186	-0.098202609	 0.287251860
-0.079493046	 0.027242165	 0.092839330	 0.125221491
-0.446237475	 0.061659344	 0.348308146	 0.569428086
 0.094409786	 0.011038476	-0.039298378	 0.102856301
 0.160671979	-0.055492621	-0.053397857	 0.178174764
 0.209355831	-0.314598709	-0.013009896	 0.378115684
-0.111349627	 0.050016947	-0.051325008	 0.132418618
-0.198926598	 0.080383994	 0.235055462	 0.318252176
-0.205572963	 0.080080122	-0.361397833	 0.423416436
    v_1_x   	    v_1_y   	    v_1_z   	  || v_1 || 
 0.418483257	 0.014213264	 0.122788131	 0.436356694
 0.053123325	-0.052315295	-0.036030933	 0.082808249
-0.008244645	-0.146560594	-0.473767549	 0.495987564
 0.027103776	-0.032288630	-0.007765919	 0.042865835
 0.096186630	-0.054820530	-0.057978705	 0.124974750
-0.063497365	-0.021333721	 0.040184289	 0.078114145
-0.065309048	 0.018063080	 0.046369120	 0.082107499
-0.040307023	-0.145684242	 0.055921320	 0.161169931
-0.112412311	 0.128655747	 0.111284062	 0.203894511
-0.283080339	-0.165462628	-0.147229508	 0.359428555
-0.022046950	 0.457533807	 0.346225709	 0.574191153
    v_2_x   	    v_2_y   	    v_2_z   	  || v_2 || 
 0.017979931	 0.052318007	-0.083758600	 0.100379057
 0.065749794	 0.073071398	-0.071131915	 0.121335126
 0.094058990	 0.142565310	 0.060466841	 0.181185544
-0.021580614	 0.062176593	-0.052686423	 0.084306054
 0.229693085	 0.024861433	-0.221535191	 0.320085675
-0.400671095	 0.109672107	 0.203268588	 0.462475330
-0.029583726	-0.082693093	 0.042036038	 0.097367205
-0.026088573	-0.513655901	-0.426585257	 0.668205023
-0.004021540	 0.013851951	 0.141305834	 0.142040089
 0.092461787	 0.178970322	 0.289889514	 0.353009194
-0.017997038	-0.061137587	 0.118730284	 0.134753764
