	#n var
0	    0.000663
1	    0.000338
2	    0.000252
3	    0.000215
4	    0.000106
5	    0.000068
6	    0.000052
7	    0.000040
8	    0.000035
9	    0.000030
10	    0.000026
11	    0.000021
12	    0.000020
13	    0.000015
14	    0.000011
15	    0.000009
16	    0.000009
17	    0.000008
18	    0.000007
19	    0.000006
20	    0.000005
21	    0.000004
22	    0.000004
23	    0.000003
24	    0.000003
25	    0.000003
26	    0.000002
27	    0.000000
28	    0.000000
29	    0.000000
30	    0.000000
31	    0.000000
32	    0.000000
