	#n var
0	    0.338992
1	    0.512165
2	    0.641329
3	    0.751406
4	    0.805493
5	    0.840450
6	    0.867189
7	    0.887676
8	    0.905351
9	    0.920883
10	    0.934404
11	    0.945062
12	    0.955267
13	    0.963108
14	    0.968711
15	    0.973272
16	    0.977636
17	    0.981648
18	    0.985020
19	    0.987946
20	    0.990252
21	    0.992506
22	    0.994509
23	    0.996168
24	    0.997743
25	    0.999033
26	    1.000000
27	    1.000000
28	    1.000000
29	    1.000000
30	    1.000000
31	    1.000000
32	    1.000000
