    #t	      pc1	      pc2	      pc3
   0.0	 0.006010	-0.017730	 0.026640
  20.0	-0.034350	 0.028390	-0.004150
  40.0	 0.016450	 0.016870	 0.019390
  60.0	 0.002860	 0.024920	 0.008640
  80.0	-0.042200	 0.007260	 0.000780
 100.0	 0.021240	-0.000350	-0.007810
 120.0	 0.045090	 0.007820	 0.011600
 140.0	 0.044400	-0.021150	-0.009670
 160.0	 0.006310	-0.035730	-0.023330
 180.0	-0.008950	 0.013450	 0.019310
 200.0	 0.008680	 0.008630	-0.002640
 220.0	 0.023010	 0.013700	-0.005250
 240.0	 0.005720	 0.008850	 0.000860
 260.0	 0.015860	-0.014120	 0.002950
 280.0	 0.031630	 0.002870	 0.024650
 300.0	 0.001070	-0.007090	-0.000920
 320.0	-0.015600	-0.002100	-0.000440
 340.0	 0.017000	-0.000060	-0.000100
 360.0	 0.014060	 0.020250	 0.018140
 380.0	-0.043660	-0.035830	 0.006300
 400.0	-0.015710	-0.031010	 0.023780
 420.0	-0.046030	-0.007990	-0.025570
 440.0	 0.039010	-0.029870	 0.010980
 460.0	 0.003200	 0.009730	-0.006380
 480.0	-0.017490	-0.009410	-0.014780
 500.0	 0.041810	-0.003110	-0.004080
 520.0	 0.040930	-0.025940	-0.014020
 540.0	 0.030050	 0.007940	-0.022260
 560.0	 0.032000	 0.006610	-0.004350
 580.0	-0.023130	-0.026730	-0.010240
 600.0	-0.003170	-0.013410	-0.000190
 620.0	-0.018470	 0.025240	-0.006160
 640.0	-0.009420	-0.011760	 0.025840
 660.0	 0.027190	 0.001100	-0.019910
 680.0	-0.011720	-0.001450	-0.022520
 700.0	-0.040400	 0.001640	-0.001630
 720.0	-0.012800	 0.022740	 0.015520
 740.0	 0.011160	-0.037940	 0.025660
 760.0	-0.017260	-0.022780	 0.000020
 780.0	 0.019880	 0.004930	 0.008040
 800.0	 0.017660	 0.000520	 0.007380
 820.0	 0.016350	 0.014110	 0.003770
 840.0	 0.007020	 0.028690	-0.000580
 860.0	-0.015670	-0.008530	 0.025450
 880.0	-0.008160	-0.042000	 0.035090
 900.0	 0.056090	 0.011550	-0.006710
 920.0	 0.026910	 0.026180	 0.006760
 940.0	 0.020260	-0.023720	-0.018800
 960.0	 0.005890	 0.003360	-0.001440
 980.0	-0.028170	 0.017850	 0.020770
1000.0	-0.012760	-0.017350	 0.006820
1020.0	 0.030450	 0.005280	 0.011380
1040.0	-0.017690	-0.009460	-0.001910
1060.0	-0.027370	 0.018980	 0.006020
1080.0	-0.012770	 0.040920	-0.012250
1100.0	 0.011940	 0.028590	 0.004020
1120.0	 0.041990	 0.033420	 0.008360
1140.0	 0.003330	 0.006280	 0.005540
1160.0	-0.005500	 0.003340	 0.009220
1180.0	-0.024170	-0.010090	 0.004580
1200.0	 0.021700	-0.007060	-0.000550
1220.0	-0.032120	-0.012910	 0.012210
1240.0	-0.061830	 0.001450	-0.015180
1260.0	-0.034440	 0.020500	 0.027890
1280.0	-0.040960	-0.018850	-0.006900
1300.0	-0.016260	 0.001640	-0.023000
1320.0	-0.009250	-0.000910	 0.011090
1340.0	 0.017910	-0.000290	-0.002290
1360.0	 0.033680	 0.008230	 0.020830
1380.0	-0.029960	-0.008740	-0.020350
1400.0	-0.052750	 0.022990	-0.011520
1420.0	 0.007760	-0.018490	-0.022680
