#t	#pc00001	#pc00002	#pc00003
0	 0.006005	 0.017734	-0.026643
1	-0.034345	-0.028387	 0.004150
2	 0.016451	-0.016870	-0.019391
3	 0.002864	-0.024915	-0.008636
4	-0.042205	-0.007258	-0.000784
5	 0.021237	 0.000353	 0.007807
6	 0.045094	-0.007819	-0.011597
7	 0.044398	 0.021151	 0.009670
8	 0.006306	 0.035731	 0.023326
9	-0.008951	-0.013453	-0.019311
10	 0.008680	-0.008627	 0.002640
11	 0.023014	-0.013694	 0.005250
12	 0.005716	-0.008854	-0.000859
13	 0.015860	 0.014120	-0.002947
14	 0.031626	-0.002870	-0.024650
15	 0.001067	 0.007088	 0.000916
16	-0.015600	 0.002100	 0.000442
17	 0.017005	 0.000062	 0.000098
18	 0.014060	-0.020245	-0.018139
19	-0.043664	 0.035826	-0.006298
20	-0.015713	 0.031014	-0.023785
21	-0.046027	 0.007992	 0.025569
22	 0.039014	 0.029869	-0.010981
23	 0.003204	-0.009730	 0.006378
24	-0.017489	 0.009412	 0.014780
25	 0.041815	 0.003115	 0.004078
26	 0.040935	 0.025939	 0.014021
27	 0.030049	-0.007941	 0.022261
28	 0.032002	-0.006604	 0.004350
29	-0.023134	 0.026728	 0.010238
30	-0.003174	 0.013414	 0.000186
31	-0.018471	-0.025244	 0.006156
32	-0.009422	 0.011765	-0.025841
33	 0.027194	-0.001102	 0.019914
34	-0.011723	 0.001450	 0.022519
35	-0.040402	-0.001642	 0.001634
36	-0.012795	-0.022742	-0.015521
37	 0.011155	 0.037938	-0.025664
38	-0.017257	 0.022784	-0.000023
39	 0.019883	-0.004933	-0.008035
40	 0.017655	-0.000516	-0.007385
41	 0.016346	-0.014108	-0.003772
42	 0.007017	-0.028693	 0.000579
43	-0.015674	 0.008535	-0.025448
44	-0.008159	 0.042001	-0.035093
45	 0.056089	-0.011552	 0.006707
46	 0.026911	-0.026182	-0.006758
47	 0.020261	 0.023722	 0.018795
48	 0.005885	-0.003357	 0.001436
49	-0.028165	-0.017854	-0.020771
50	-0.012762	 0.017348	-0.006817
51	 0.030450	-0.005279	-0.011382
52	-0.017687	 0.009463	 0.001907
53	-0.027365	-0.018975	-0.006024
54	-0.012771	-0.040913	 0.012251
55	 0.011943	-0.028586	-0.004015
56	 0.041985	-0.033416	-0.008359
57	 0.003327	-0.006284	-0.005537
58	-0.005500	-0.003343	-0.009215
59	-0.024174	 0.010089	-0.004587
60	 0.021698	 0.007064	 0.000552
61	-0.032119	 0.012913	-0.012217
62	-0.061827	-0.001451	 0.015182
63	-0.034442	-0.020503	-0.027894
64	-0.040956	 0.018851	 0.006902
65	-0.016264	-0.001641	 0.023000
66	-0.009248	 0.000907	-0.011094
67	 0.017910	 0.000290	 0.002292
68	 0.033681	-0.008229	-0.020835
69	-0.029964	 0.008737	 0.020349
70	-0.052745	-0.022991	 0.011523
71	 0.007762	 0.018496	 0.022679
72	 0.035294	-0.008158	 0.006595
73	 0.016759	-0.000813	-0.024869
74	 0.010727	-0.013483	-0.017129
75	-0.026573	 0.000564	 0.030554
76	-0.007204	 0.008372	-0.018947
77	 0.030685	 0.021858	 0.018958
78	 0.006176	 0.028788	-0.009855
79	 0.006534	-0.005256	-0.013625
80	 0.011211	 0.014268	-0.009703
81	-0.024501	 0.005124	 0.006229
82	-0.001323	-0.007746	 0.007048
83	 0.013521	-0.008551	-0.003844
84	-0.020978	-0.024015	 0.000263
85	 0.010449	 0.023455	-0.001890
86	-0.009037	 0.003540	 0.010323
87	-0.002831	-0.029000	-0.010367
88	-0.007896	 0.019660	-0.022092
89	-0.019884	-0.001945	-0.008111
90	-0.005414	 0.024650	 0.016361
91	-0.009111	-0.005109	 0.027106
92	 0.000567	-0.034389	-0.005771
93	-0.004794	 0.052289	-0.002545
94	-0.032781	 0.019768	 0.014012
95	 0.027008	 0.022095	 0.009262
96	 0.007103	-0.028431	 0.018059
97	 0.056573	 0.035915	 0.038818
98	 0.014058	-0.005455	 0.014348
99	-0.027671	 0.006636	 0.007906
100	-0.009958	-0.025155	-0.004838
101	-0.013309	-0.001637	 0.006085
102	 0.002440	-0.005135	 0.004284
103	 0.014154	-0.001599	-0.020192
104	 0.024599	 0.004695	-0.000576
105	 0.031701	-0.012519	 0.003801
106	-0.034733	 0.043893	-0.006416
107	-0.058044	 0.023073	 0.012753
108	-0.006955	-0.012070	-0.003538
109	 0.009255	 0.008518	-0.009088
110	-0.004479	-0.005827	 0.000690
111	 0.001379	 0.020918	-0.011131
112	 0.003959	 0.005637	 0.006927
113	 0.023905	-0.003577	-0.000805
114	-0.002580	 0.016336	 0.013429
115	-0.022123	 0.006586	-0.016315
116	 0.001250	 0.013628	-0.016817
117	 0.007692	-0.017019	-0.027402
118	 0.042840	-0.016036	-0.003257
119	-0.013011	-0.003781	 0.029674
120	 0.012734	 0.006762	 0.020794
121	-0.033006	 0.022460	 0.003348
122	-0.002927	-0.012364	 0.024367
123	 0.031868	-0.019146	-0.011372
124	-0.018781	-0.009801	-0.011945
125	-0.017031	 0.025694	-0.004979
126	 0.028705	 0.010712	 0.017776
