	#n var
0	    0.338992
1	    0.173173
2	    0.129164
3	    0.110076
4	    0.054088
5	    0.034957
6	    0.026739
7	    0.020487
8	    0.017674
9	    0.015532
10	    0.013521
11	    0.010658
12	    0.010204
13	    0.007841
14	    0.005602
15	    0.004562
16	    0.004364
17	    0.004012
18	    0.003372
19	    0.002926
20	    0.002306
21	    0.002254
22	    0.002003
23	    0.001659
24	    0.001575
25	    0.001290
26	    0.000967
27	    0.000000
28	    0.000000
29	    0.000000
30	    0.000000
31	    0.000000
32	    0.000000
